"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2023","UHF 42","101","4","Kingsbridge - Riverdale","8.5","7.2","10.3"
"Annual Average 2023","UHF 42","102","4","Northeast Bronx","8.8","7.6","10.3"
"Annual Average 2023","UHF 42","103","4","Fordham - Bronx Pk","9.3","7.5","10.6"
"Annual Average 2023","UHF 42","104","4","Pelham - Throgs Neck","10.1","7.5","13.6"
"Annual Average 2023","UHF 42","105","4","Crotona -Tremont","11.5","9.5","13.7"
"Annual Average 2023","UHF 42","106","4","High Bridge - Morrisania","11.6","9.9","13.9"
"Annual Average 2023","UHF 42","107","4","Hunts Point - Mott Haven","14.0","7.6","19.9"
"Annual Average 2023","UHF 42","201","4","Greenpoint","16.0","13.7","19.5"
"Annual Average 2023","UHF 42","202","4","Downtown - Heights - Slope","14.4","11.2","17.7"
"Annual Average 2023","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","11.9","10.2","14.0"
"Annual Average 2023","UHF 42","204","4","East New York","11.6","8.8","14.8"
"Annual Average 2023","UHF 42","205","4","Sunset Park","14.8","8.8","23.0"
"Annual Average 2023","UHF 42","206","4","Borough Park","10.4","9.3","11.6"
"Annual Average 2023","UHF 42","207","4","East Flatbush - Flatbush","10.3","9.1","11.6"
"Annual Average 2023","UHF 42","208","4","Canarsie - Flatlands","9.1","7.1","11.8"
"Annual Average 2023","UHF 42","209","4","Bensonhurst - Bay Ridge","9.5","8.5","11.6"
"Annual Average 2023","UHF 42","210","4","Coney Island - Sheepshead Bay","8.7","7.7","9.6"
"Annual Average 2023","UHF 42","211","4","Williamsburg - Bushwick","14.9","10.6","20.8"
"Annual Average 2023","UHF 42","301","4","Washington Heights","11.3","8.4","15.4"
"Annual Average 2023","UHF 42","302","4","Central Harlem - Morningside Heights","11.3","10.3","12.8"
"Annual Average 2023","UHF 42","303","4","East Harlem","11.6","10.7","12.4"
"Annual Average 2023","UHF 42","304","4","Upper West Side","12.8","11.1","14.2"
"Annual Average 2023","UHF 42","305","4","Upper East Side","12.7","11.1","14.3"
"Annual Average 2023","UHF 42","306","4","Chelsea - Clinton","15.3","13.8","16.8"
"Annual Average 2023","UHF 42","307","4","Gramercy Park - Murray Hill","14.3","12.6","15.5"
"Annual Average 2023","UHF 42","308","4","Greenwich Village - SoHo","14.6","13.1","16.2"
"Annual Average 2023","UHF 42","309","4","Union Square - Lower East Side","11.9","10.5","13.8"
"Annual Average 2023","UHF 42","310","4","Lower Manhattan","13.6","12.5","14.6"
"Annual Average 2023","UHF 42","401","4","Long Island City - Astoria","14.2","10.2","19.3"
