"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2023","UHF 42","101","4","Kingsbridge - Riverdale","14.6","13.5","16.6"
"Annual Average 2023","UHF 42","102","4","Northeast Bronx","14.5","13.7","15.6"
"Annual Average 2023","UHF 42","103","4","Fordham - Bronx Pk","15.0","13.9","16.2"
"Annual Average 2023","UHF 42","104","4","Pelham - Throgs Neck","15.6","13.9","17.5"
"Annual Average 2023","UHF 42","105","4","Crotona -Tremont","17.3","16.0","18.9"
"Annual Average 2023","UHF 42","106","4","High Bridge - Morrisania","17.1","16.0","18.9"
"Annual Average 2023","UHF 42","107","4","Hunts Point - Mott Haven","17.5","14.4","19.7"
"Annual Average 2023","UHF 42","201","4","Greenpoint","19.3","18.0","20.8"
"Annual Average 2023","UHF 42","202","4","Downtown - Heights - Slope","18.3","16.4","20.4"
"Annual Average 2023","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","17.0","16.2","17.9"
"Annual Average 2023","UHF 42","204","4","East New York","17.3","15.8","19.0"
"Annual Average 2023","UHF 42","205","4","Sunset Park","19.1","15.6","22.9"
"Annual Average 2023","UHF 42","206","4","Borough Park","16.3","15.6","17.2"
"Annual Average 2023","UHF 42","207","4","East Flatbush - Flatbush","16.1","15.5","16.9"
"Annual Average 2023","UHF 42","208","4","Canarsie - Flatlands","14.9","12.4","17.2"
"Annual Average 2023","UHF 42","209","4","Bensonhurst - Bay Ridge","16.4","14.6","19.1"
"Annual Average 2023","UHF 42","210","4","Coney Island - Sheepshead Bay","14.0","12.5","15.1"
"Annual Average 2023","UHF 42","211","4","Williamsburg - Bushwick","18.2","16.4","20.4"
"Annual Average 2023","UHF 42","301","4","Washington Heights","17.1","14.8","22.2"
"Annual Average 2023","UHF 42","302","4","Central Harlem - Morningside Heights","16.3","15.8","16.8"
"Annual Average 2023","UHF 42","303","4","East Harlem","16.3","15.7","17.0"
"Annual Average 2023","UHF 42","304","4","Upper West Side","18.4","16.7","20.4"
"Annual Average 2023","UHF 42","305","4","Upper East Side","19.0","16.9","21.3"
"Annual Average 2023","UHF 42","306","4","Chelsea - Clinton","24.1","21.0","27.5"
"Annual Average 2023","UHF 42","307","4","Gramercy Park - Murray Hill","23.6","20.3","27.1"
"Annual Average 2023","UHF 42","308","4","Greenwich Village - SoHo","22.1","21.1","23.2"
"Annual Average 2023","UHF 42","309","4","Union Square - Lower East Side","19.0","16.7","21.7"
"Annual Average 2023","UHF 42","310","4","Lower Manhattan","21.6","20.1","23.2"
"Annual Average 2023","UHF 42","401","4","Long Island City - Astoria","18.4","16.6","20.6"
"Annual Average 2023","UHF 42","402","4","West Queens","18.4","16.4","21.4"
"Annual Average 2023","UHF 42","403","4","Flushing - Clearview","15.3","14.1","16.8"
"Annual Average 2023","UHF 42","404","4","Bayside - Little Neck","14.9","13.4","16.7"
"Annual Average 2023","UHF 42","405","4","Ridgewood - Forest Hills","16.7","15.2","18.4"
"Annual Average 2023","UHF 42","406","4","Fresh Meadows","15.2","14.2","16.4"
"Annual Average 2023","UHF 42","407","4","Southwest Queens","15.3","14.0","16.7"
"Annual Average 2023","UHF 42","408","4","Jamaica","15.4","14.3","17.3"
"Annual Average 2023","UHF 42","409","4","Southeast Queens","14.7","13.8","15.6"
"Annual Average 2023","UHF 42","410","4","Rockaways","9.4","8.5","10.2"
"Annual Average 2023","UHF 42","501","4","Port Richmond","16.3","15.0","17.6"
"Annual Average 2023","UHF 42","502","4","Stapleton - St. George","15.9","13.0","18.3"
"Annual Average 2023","UHF 42","503","4","Willowbrook","12.8","10.3","15.7"
"Annual Average 2023","UHF 42","504","4","South Beach - Tottenville","10.5","9.5","11.6"
"Annual Average 2022","UHF 42","101","4","Kingsbridge - Riverdale","14.5","13.3","16.4"
"Annual Average 2022","UHF 42","102","4","Northeast Bronx","15.4","14.6","16.6"
"Annual Average 2022","UHF 42","103","4","Fordham - Bronx Pk","15.3","14.3","16.3"
"Annual Average 2022","UHF 42","104","4","Pelham - Throgs Neck","15.8","14.1","17.5"
"Annual Average 2022","UHF 42","105","4","Crotona -Tremont","17.2","15.9","18.7"
"Annual Average 2022","UHF 42","106","4","High Bridge - Morrisania","17.2","16.2","19.0"
"Annual Average 2022","UHF 42","107","4","Hunts Point - Mott Haven","17.4","13.5","19.6"
"Annual Average 2022","UHF 42","201","4","Greenpoint","18.4","17.1","19.7"
"Annual Average 2022","UHF 42","202","4","Downtown - Heights - Slope","18.0","15.9","20.1"
"Annual Average 2022","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","16.2","15.3","17.2"
"Annual Average 2022","UHF 42","204","4","East New York","15.6","14.0","17.3"
"Annual Average 2022","UHF 42","205","4","Sunset Park","17.3","14.2","20.9"
"Annual Average 2022","UHF 42","206","4","Borough Park","15.0","14.2","15.9"
"Annual Average 2022","UHF 42","207","4","East Flatbush - Flatbush","15.0","14.1","15.9"
"Annual Average 2022","UHF 42","208","4","Canarsie - Flatlands","13.4","11.3","15.7"
"Annual Average 2022","UHF 42","209","4","Bensonhurst - Bay Ridge","14.4","13.1","16.4"
"Annual Average 2022","UHF 42","210","4","Coney Island - Sheepshead Bay","13.1","11.9","14.0"
"Annual Average 2022","UHF 42","211","4","Williamsburg - Bushwick","17.4","15.6","19.7"
"Annual Average 2022","UHF 42","301","4","Washington Heights","16.9","14.6","21.3"
"Annual Average 2022","UHF 42","302","4","Central Harlem - Morningside Heights","16.9","16.4","17.5"
