"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Summer 2023","UHF 42","101","4","Kingsbridge - Riverdale","29.4","27.5","31.1"
"Summer 2023","UHF 42","102","4","Northeast Bronx","33.7","32.3","35.0"
"Summer 2023","UHF 42","103","4","Fordham - Bronx Pk","32.3","30.5","33.8"
"Summer 2023","UHF 42","104","4","Pelham - Throgs Neck","34.9","33.1","36.9"
"Summer 2023","UHF 42","105","4","Crotona -Tremont","32.2","30.5","33.5"
"Summer 2023","UHF 42","106","4","High Bridge - Morrisania","32.1","30.7","33.2"
"Summer 2023","UHF 42","107","4","Hunts Point - Mott Haven","33.4","31.8","35.7"
"Summer 2023","UHF 42","201","4","Greenpoint","33.8","32.4","35.3"
"Summer 2023","UHF 42","202","4","Downtown - Heights - Slope","33.9","31.7","35.6"
"Summer 2023","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","36.2","35.1","37.2"
"Summer 2023","UHF 42","204","4","East New York","36.3","35.2","37.3"
"Summer 2023","UHF 42","205","4","Sunset Park","34.5","32.6","36.3"
"Summer 2023","UHF 42","206","4","Borough Park","37.4","36.0","38.9"
"Summer 2023","UHF 42","207","4","East Flatbush - Flatbush","37.3","36.4","38.0"
"Summer 2023","UHF 42","208","4","Canarsie - Flatlands","38.3","36.5","40.5"
"Summer 2023","UHF 42","209","4","Bensonhurst - Bay Ridge","37.3","34.3","40.2"
"Summer 2023","UHF 42","210","4","Coney Island - Sheepshead Bay","40.4","38.8","42.1"
"Summer 2023","UHF 42","211","4","Williamsburg - Bushwick","35.5","34.5","36.4"
"Summer 2023","UHF 42","301","4","Washington Heights","30.0","26.7","32.1"
"Summer 2023","UHF 42","302","4","Central Harlem - Morningside Heights","31.5","29.9","32.6"
"Summer 2023","UHF 42","303","4","East Harlem","32.0","30.9","32.9"
"Summer 2023","UHF 42","304","4","Upper West Side","29.8","28.1","31.1"
"Summer 2023","UHF 42","305","4","Upper East Side","31.2","29.9","32.8"
"Summer 2023","UHF 42","306","4","Chelsea - Clinton","28.4","27.4","29.5"
"Summer 2023","UHF 42","307","4","Gramercy Park - Murray Hill","29.5","28.1","31.2"
"Summer 2023","UHF 42","308","4","Greenwich Village - SoHo","29.1","27.8","30.5"
"Summer 2023","UHF 42","309","4","Union Square - Lower East Side","31.0","29.3","32.8"
"Summer 2023","UHF 42","310","4","Lower Manhattan","29.9","28.5","31.4"
"Summer 2023","UHF 42","401","4","Long Island City - Astoria","33.2","31.9","34.3"
"Summer 2023","UHF 42","402","4","West Queens","34.4","32.8","35.7"
"Summer 2023","UHF 42","403","4","Flushing - Clearview","36.7","35.3","37.9"
"Summer 2023","UHF 42","404","4","Bayside - Little Neck","36.9","34.7","38.5"
"Summer 2023","UHF 42","405","4","Ridgewood - Forest Hills","35.7","34.6","36.8"
"Summer 2023","UHF 42","406","4","Fresh Meadows","36.9","35.6","38.1"
"Summer 2023","UHF 42","407","4","Southwest Queens","37.4","36.1","38.8"
"Summer 2023","UHF 42","408","4","Jamaica","37.4","36.3","38.4"
"Summer 2023","UHF 42","409","4","Southeast Queens","38.2","37.0","39.2"
"Summer 2023","UHF 42","410","4","Rockaways","43.3","41.7","44.7"
"Summer 2023","UHF 42","501","4","Port Richmond","32.6","30.9","34.3"
"Summer 2023","UHF 42","502","4","Stapleton - St. George","33.4","30.1","36.8"
"Summer 2023","UHF 42","503","4","Willowbrook","34.7","31.5","37.7"
"Summer 2023","UHF 42","504","4","South Beach - Tottenville","36.5","33.4","38.7"
"Summer 2022","UHF 42","101","4","Kingsbridge - Riverdale","30.0","28.3","31.4"
