"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean mcg/m3","10th percentile mcg/m3","90th percentile mcg/m3"
"Annual Average 2022","UHF 42","101","4","Kingsbridge - Riverdale","6.0","5.9","6.3"
"Annual Average 2022","UHF 42","102","4","Northeast Bronx","6.0","5.9","6.2"
"Annual Average 2022","UHF 42","103","4","Fordham - Bronx Pk","6.1","6.0","6.3"
"Annual Average 2022","UHF 42","104","4","Pelham - Throgs Neck","6.1","5.7","6.5"
"Annual Average 2022","UHF 42","105","4","Crotona -Tremont","6.2","6.0","6.5"
"Annual Average 2022","UHF 42","106","4","High Bridge - Morrisania","6.1","5.8","6.3"
"Annual Average 2022","UHF 42","107","4","Hunts Point - Mott Haven","6.2","5.5","6.7"
"Annual Average 2022","UHF 42","201","4","Greenpoint","6.5","6.2","6.8"
"Annual Average 2022","UHF 42","202","4","Downtown - Heights - Slope","6.4","6.0","6.8"
"Annual Average 2022","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","5.9","5.6","6.3"
"Annual Average 2022","UHF 42","204","4","East New York","5.7","5.5","6.0"
"Annual Average 2022","UHF 42","205","4","Sunset Park","6.2","5.5","6.8"
"Annual Average 2022","UHF 42","206","4","Borough Park","5.7","5.5","5.8"
"Annual Average 2022","UHF 42","207","4","East Flatbush - Flatbush","5.6","5.4","5.9"
"Annual Average 2022","UHF 42","208","4","Canarsie - Flatlands","5.4","5.1","5.8"
"Annual Average 2022","UHF 42","209","4","Bensonhurst - Bay Ridge","5.6","5.3","6.0"
"Annual Average 2022","UHF 42","210","4","Coney Island - Sheepshead Bay","5.4","5.2","5.6"
"Annual Average 2022","UHF 42","211","4","Williamsburg - Bushwick","6.4","5.9","6.9"
"Annual Average 2022","UHF 42","301","4","Washington Heights","6.3","6.1","6.5"
"Annual Average 2022","UHF 42","302","4","Central Harlem - Morningside Heights","6.2","6.1","6.4"
"Annual Average 2022","UHF 42","303","4","East Harlem","6.1","6.0","6.3"
"Annual Average 2022","UHF 42","304","4","Upper West Side","6.1","5.9","6.3"
"Annual Average 2022","UHF 42","305","4","Upper East Side","6.4","6.1","6.8"
"Annual Average 2022","UHF 42","306","4","Chelsea - Clinton","8.4","6.9","9.6"
"Annual Average 2022","UHF 42","307","4","Gramercy Park - Murray Hill","7.9","6.8","9.2"
"Annual Average 2022","UHF 42","308","4","Greenwich Village - SoHo","8.0","7.3","8.8"
"Annual Average 2022","UHF 42","309","4","Union Square - Lower East Side","7.5","6.1","9.2"
"Annual Average 2022","UHF 42","310","4","Lower Manhattan","7.1","6.6","7.6"
"Annual Average 2022","UHF 42","401","4","Long Island City - Astoria","6.4","6.0","6.7"
"Annual Average 2022","UHF 42","402","4","West Queens","6.2","5.8","6.7"
