"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Percent"
"2017","UHF 42","101","4","Kingsbridge - Riverdale","7.0"
"2017","UHF 42","102","4","Northeast Bronx","9.0"
"2017","UHF 42","103","4","Fordham - Bronx Pk","12.0"
"2017","UHF 42","104","4","Pelham - Throgs Neck","8.0"
"2017","UHF 42","105","4","Crotona -Tremont","14.0"
"2017","UHF 42","106","4","High Bridge - Morrisania","15.0"
"2017","UHF 42","107","4","Hunts Point - Mott Haven","18.0"
"2017","UHF 42","201","4","Greenpoint","17.0"
"2017","UHF 42","202","4","Downtown - Heights - Slope","28.0"
"2017","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","19.0"
"2017","UHF 42","204","4","East New York","8.0"
"2017","UHF 42","205","4","Sunset Park","14.0"
"2017","UHF 42","206","4","Borough Park","6.0"
"2017","UHF 42","207","4","East Flatbush - Flatbush","14.0"
"2017","UHF 42","208","4","Canarsie - Flatlands","8.0"
"2017","UHF 42","209","4","Bensonhurst - Bay Ridge","9.0"
"2017","UHF 42","210","4","Coney Island - Sheepshead Bay","10.0"
"2017","UHF 42","211","4","Williamsburg - Bushwick","14.0"
"2017","UHF 42","301","4","Washington Heights","25.0"
"2017","UHF 42","302","4","Central Harlem - Morningside Heights","16.0"
"2017","UHF 42","303","4","East Harlem","23.0"
"2017","UHF 42","304","4","Upper West Side","32.0"
"2017","UHF 42","305","4","Upper East Side","25.0"
"2017","UHF 42","306","4","Chelsea - Clinton","32.0"
"2017","UHF 42","307","4","Gramercy Park - Murray Hill","23.0"
"2017","UHF 42","308","4","Greenwich Village - SoHo","29.0"
"2017","UHF 42","309","4","Union Square - Lower East Side","36.0"
"2017","UHF 42","310","4","Lower Manhattan","30.0"
"2017","UHF 42","401","4","Long Island City - Astoria","18.0"
"2017","UHF 42","402","4","West Queens","7.0"
"2017","UHF 42","403","4","Flushing - Clearview","3.0"
"2017","UHF 42","404","4","Bayside - Little Neck","6.0"
"2017","UHF 42","405","4","Ridgewood - Forest Hills","9.0"
"2017","UHF 42","406","4","Fresh Meadows","10.0"
"2017","UHF 42","407","4","Southwest Queens","3.0"
"2017","UHF 42","408","4","Jamaica","1.0"
"2017","UHF 42","409","4","Southeast Queens","3.0"
"2017","UHF 42","410","4","Rockaways","18.0"
"2017","UHF 42","501","4","Port Richmond","1.0"
"2017","UHF 42","502","4","Stapleton - St. George","6.0"
"2017","UHF 42","503","4","Willowbrook","4.0"
"2017","UHF 42","504","4","South Beach - Tottenville","4.0"
