"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Percent"
"2014","UHF 34","101","3","Kingsbridge - Riverdale","0*","0.5* (0.1, 1.9)"
"2014","UHF 34","102","3","Northeast Bronx","**","**"
"2014","UHF 34","103","3","Fordham - Bronx Pk","11,000*","5.8* (3.1, 10.7)"
"2014","UHF 34","104","3","Pelham - Throgs Neck","12,000*","5.4* (2.8, 9.9)"
"2014","UHF 34","201","3","Greenpoint","17,000*","16.6* (8.1, 30.8)"
"2014","UHF 34","202","3","Downtown - Heights - Slope","25,000","14.2 (8.7, 22.4)"
"2014","UHF 34","203","3","Bedford Stuyvesant - Crown Heights","26,000","10.6 (7.0, 15.7)"
"2014","UHF 34","204","3","East New York","8,000*","5.7* (3.0, 10.6)"
"2014","UHF 34","205","3","Sunset Park","7,000*","7.2* (3.3, 14.8)"
"2014","UHF 34","206","3","Borough Park","16,000*","6.6* (3.4, 12.3)"
"2014","UHF 34","207","3","East Flatbush - Flatbush","22,000","9.7 (6.0, 15.3)"
"2014","UHF 34","208","3","Canarsie - Flatlands","6,000*","4.1* (1.6, 10.1)"
"2014","UHF 34","209","3","Bensonhurst - Bay Ridge","13,000*","8.1* (4.1, 15.5)"
"2014","UHF 34","210","3","Coney Island - Sheepshead Bay","2,000*","1.0* (0.4, 2.1)"
"2014","UHF 34","211","3","Williamsburg - Bushwick","14,000*","9.3* (4.9, 16.9)"
"2014","UHF 34","301","3","Washington Heights","12,000","5.7 (3.3, 9.8)"
"2014","UHF 34","302","3","Central Harlem - Morningside Heights","7,000*","5.4* (2.5, 11.3)"
"2014","UHF 34","303","3","East Harlem","3,000*","4.1* (1.8, 9.0)"
"2014","UHF 34","304","3","Upper West Side","15,000","8.5 (5.0, 13.9)"
"2014","UHF 34","401","3","Long Island City - Astoria","12,000*","6.9* (3.6, 12.8)"
"2014","UHF 34","402","3","West Queens","34,000","9.1 (5.8, 13.9)"
"2014","UHF 34","403","3","Flushing - Clearview","4,000*","1.9* (0.9, 4.2)"
"2014","UHF 34","405","3","Ridgewood - Forest Hills","22,000*","10.7* (5.6, 19.6)"
"2014","UHF 34","407","3","Southwest Queens","20,000*","9.6* (4.9, 18.0)"
"2014","UHF 34","408","3","Jamaica","11,000*","5.0* (2.4, 10.0)"
"2014","UHF 34","409","3","Southeast Queens","5,000*","3.0* (1.2, 7.4)"
"2014","UHF 34","410","3","Rockaways","**","**"
"2014","UHF 34","305307","3","Upper East Side-Gramercy","27,000","8.6 (5.1, 14.1)"
"2014","UHF 34","306308","3","Chelsea-Village","22,000","10.5 (6.7, 16.1)"
"2014","UHF 34","309310","3","Union Square-Lower Manhattan","34,000","15.9 (10.4, 23.7)"
"2014","UHF 34","404406","3","Bayside Little Neck-Fresh Meadows","**","**"
"2014","UHF 34","501502","3","Northern SI","8,000*","5.6* (2.4, 12.4)"
"2014","UHF 34","503504","3","Southern SI","8,000*","3.7* (1.9, 6.9)"
"2014","UHF 34","105106107","3","South Bronx","15,000*","3.8* (1.9, 7.6)"
