"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Density"
"2014","UHF 42","101","4","Kingsbridge - Riverdale","0.3"
"2014","UHF 42","102","4","Northeast Bronx","0.5"
"2014","UHF 42","103","4","Fordham - Bronx Pk","1.1"
"2014","UHF 42","104","4","Pelham - Throgs Neck","0.4"
"2014","UHF 42","105","4","Crotona -Tremont","0.9"
"2014","UHF 42","106","4","High Bridge - Morrisania","1.3"
"2014","UHF 42","107","4","Hunts Point - Mott Haven","1.1"
"2014","UHF 42","201","4","Greenpoint","1.0"
"2014","UHF 42","202","4","Downtown - Heights - Slope","1.7"
"2014","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","1.8"
"2014","UHF 42","204","4","East New York","1.3"
"2014","UHF 42","205","4","Sunset Park","0.7"
"2014","UHF 42","206","4","Borough Park","1.3"
"2014","UHF 42","207","4","East Flatbush - Flatbush","0.9"
"2014","UHF 42","208","4","Canarsie - Flatlands","0.1"
"2014","UHF 42","209","4","Bensonhurst - Bay Ridge","0.7"
"2014","UHF 42","210","4","Coney Island - Sheepshead Bay","0.7"
"2014","UHF 42","211","4","Williamsburg - Bushwick","1.8"
"2014","UHF 42","301","4","Washington Heights","2.0"
"2014","UHF 42","302","4","Central Harlem - Morningside Heights","2.3"
"2014","UHF 42","303","4","East Harlem","0.9"
"2014","UHF 42","304","4","Upper West Side","1.7"
"2014","UHF 42","305","4","Upper East Side","1.2"
"2014","UHF 42","306","4","Chelsea - Clinton","4.1"
"2014","UHF 42","307","4","Gramercy Park - Murray Hill","2.9"
"2014","UHF 42","308","4","Greenwich Village - SoHo","4.1"
"2014","UHF 42","309","4","Union Square - Lower East Side","2.4"
"2014","UHF 42","310","4","Lower Manhattan","6.3"
"2014","UHF 42","401","4","Long Island City - Astoria","1.2"
"2014","UHF 42","402","4","West Queens","0.5"
"2014","UHF 42","403","4","Flushing - Clearview","0.0"
"2014","UHF 42","404","4","Bayside - Little Neck","0.0"
"2014","UHF 42","405","4","Ridgewood - Forest Hills","0.4"
"2014","UHF 42","406","4","Fresh Meadows","0.0"
"2014","UHF 42","407","4","Southwest Queens","0.6"
"2014","UHF 42","408","4","Jamaica","0.2"
"2014","UHF 42","409","4","Southeast Queens","0.0"
"2014","UHF 42","410","4","Rockaways","0.5"
"2014","UHF 42","501","4","Port Richmond","0.0"
"2014","UHF 42","502","4","Stapleton - St. George","0.2"
"2014","UHF 42","503","4","Willowbrook","0.0"
"2014","UHF 42","504","4","South Beach - Tottenville","0.2"
