"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Percent"
"2017","UHF 42","101","4","Kingsbridge - Riverdale","63.0"
"2017","UHF 42","102","4","Northeast Bronx","36.0"
"2017","UHF 42","103","4","Fordham - Bronx Pk","40.0"
"2017","UHF 42","104","4","Pelham - Throgs Neck","46.0"
"2017","UHF 42","105","4","Crotona -Tremont","32.0"
"2017","UHF 42","106","4","High Bridge - Morrisania","21.0"
"2017","UHF 42","107","4","Hunts Point - Mott Haven","18.0"
"2017","UHF 42","201","4","Greenpoint","14.0"
"2017","UHF 42","202","4","Downtown - Heights - Slope","22.0"
"2017","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","25.0"
"2017","UHF 42","204","4","East New York","29.0"
"2017","UHF 42","205","4","Sunset Park","29.0"
"2017","UHF 42","206","4","Borough Park","24.0"
"2017","UHF 42","207","4","East Flatbush - Flatbush","30.0"
"2017","UHF 42","208","4","Canarsie - Flatlands","41.0"
"2017","UHF 42","209","4","Bensonhurst - Bay Ridge","28.0"
"2017","UHF 42","210","4","Coney Island - Sheepshead Bay","23.0"
"2017","UHF 42","211","4","Williamsburg - Bushwick","18.0"
"2017","UHF 42","301","4","Washington Heights","35.0"
"2017","UHF 42","302","4","Central Harlem - Morningside Heights","29.0"
"2017","UHF 42","303","4","East Harlem","31.0"
"2017","UHF 42","304","4","Upper West Side","29.0"
"2017","UHF 42","305","4","Upper East Side","22.0"
"2017","UHF 42","306","4","Chelsea - Clinton","11.0"
"2017","UHF 42","307","4","Gramercy Park - Murray Hill","13.0"
"2017","UHF 42","308","4","Greenwich Village - SoHo","13.0"
"2017","UHF 42","309","4","Union Square - Lower East Side","25.0"
"2017","UHF 42","310","4","Lower Manhattan","24.0"
"2017","UHF 42","401","4","Long Island City - Astoria","18.0"
"2017","UHF 42","402","4","West Queens","24.0"
"2017","UHF 42","403","4","Flushing - Clearview","38.0"
"2017","UHF 42","404","4","Bayside - Little Neck","55.0"
"2017","UHF 42","405","4","Ridgewood - Forest Hills","45.0"
"2017","UHF 42","406","4","Fresh Meadows","46.0"
"2017","UHF 42","407","4","Southwest Queens","29.0"
"2017","UHF 42","408","4","Jamaica","35.0"
"2017","UHF 42","409","4","Southeast Queens","44.0"
"2017","UHF 42","410","4","Rockaways","37.0"
"2017","UHF 42","501","4","Port Richmond","41.0"
"2017","UHF 42","502","4","Stapleton - St. George","51.0"
"2017","UHF 42","503","4","Willowbrook","61.0"
"2017","UHF 42","504","4","South Beach - Tottenville","59.0"
