"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Million miles per square mile"
"2019","UHF 42","101","4","Kingsbridge - Riverdale","80.8"
"2019","UHF 42","102","4","Northeast Bronx","47.7"
"2019","UHF 42","103","4","Fordham - Bronx Pk","60.0"
"2019","UHF 42","104","4","Pelham - Throgs Neck","64.5"
"2019","UHF 42","105","4","Crotona -Tremont","102.3"
"2019","UHF 42","106","4","High Bridge - Morrisania","81.6"
"2019","UHF 42","107","4","Hunts Point - Mott Haven","57.4"
"2019","UHF 42","201","4","Greenpoint","88.6"
"2019","UHF 42","202","4","Downtown - Heights - Slope","126.8"
"2019","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","82.6"
"2019","UHF 42","204","4","East New York","55.4"
"2019","UHF 42","205","4","Sunset Park","101.6"
"2019","UHF 42","206","4","Borough Park","69.7"
"2019","UHF 42","207","4","East Flatbush - Flatbush","60.2"
"2019","UHF 42","208","4","Canarsie - Flatlands","47.0"
"2019","UHF 42","209","4","Bensonhurst - Bay Ridge","67.8"
"2019","UHF 42","210","4","Coney Island - Sheepshead Bay","44.5"
"2019","UHF 42","211","4","Williamsburg - Bushwick","49.8"
"2019","UHF 42","301","4","Washington Heights","143.1"
"2019","UHF 42","302","4","Central Harlem - Morningside Heights","108.3"
"2019","UHF 42","303","4","East Harlem","147.9"
"2019","UHF 42","304","4","Upper West Side","143.5"
"2019","UHF 42","305","4","Upper East Side","124.6"
"2019","UHF 42","306","4","Chelsea - Clinton","136.0"
"2019","UHF 42","307","4","Gramercy Park - Murray Hill","188.2"
"2019","UHF 42","308","4","Greenwich Village - SoHo","142.9"
"2019","UHF 42","309","4","Union Square - Lower East Side","124.4"
"2019","UHF 42","310","4","Lower Manhattan","112.3"
"2019","UHF 42","401","4","Long Island City - Astoria","63.8"
"2019","UHF 42","402","4","West Queens","103.9"
"2019","UHF 42","403","4","Flushing - Clearview","42.3"
"2019","UHF 42","404","4","Bayside - Little Neck","80.0"
"2019","UHF 42","405","4","Ridgewood - Forest Hills","66.5"
"2019","UHF 42","406","4","Fresh Meadows","80.9"
"2019","UHF 42","407","4","Southwest Queens","57.8"
"2019","UHF 42","408","4","Jamaica","47.8"
"2019","UHF 42","409","4","Southeast Queens","67.1"
"2019","UHF 42","410","4","Rockaways","14.0"
"2019","UHF 42","501","4","Port Richmond","17.0"
"2019","UHF 42","502","4","Stapleton - St. George","33.3"
"2019","UHF 42","503","4","Willowbrook","34.3"
"2019","UHF 42","504","4","South Beach - Tottenville","13.0"
