"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2022","UHF 42","101","4","Kingsbridge - Riverdale","47","6.5","5.6"
"2022","UHF 42","102","4","Northeast Bronx","193","12.2","11.4"
"2022","UHF 42","103","4","Fordham - Bronx Pk","270","14.1","14.3"
"2022","UHF 42","104","4","Pelham - Throgs Neck","307","13.8","13.4"
"2022","UHF 42","105","4","Crotona -Tremont","312","20.6","20.9"
"2022","UHF 42","106","4","High Bridge - Morrisania","283","18.4","18.3"
"2022","UHF 42","107","4","Hunts Point - Mott Haven","237","23.7","23.7"
"2022","UHF 42","201","4","Greenpoint","38","3.5","4.1"
"2022","UHF 42","202","4","Downtown - Heights - Slope","102","4.8","5.3"
"2022","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","222","8.3","8.3"
"2022","UHF 42","204","4","East New York","118","7.9","7.8"
"2022","UHF 42","205","4","Sunset Park","37","4.0","4.0"
"2022","UHF 42","206","4","Borough Park","38","1.6","1.6"
"2022","UHF 42","207","4","East Flatbush - Flatbush","172","7.4","7.2"
"2022","UHF 42","208","4","Canarsie - Flatlands","88","5.4","5.5"
"2022","UHF 42","209","4","Bensonhurst - Bay Ridge","29","1.8","1.7"
"2022","UHF 42","210","4","Coney Island - Sheepshead Bay","96","4.2","3.9"
"2022","UHF 42","211","4","Williamsburg - Bushwick","145","8.6","9.1"
"2022","UHF 42","301","4","Washington Heights","139","6.3","6.2"
"2022","UHF 42","302","4","Central Harlem - Morningside Heights","160","10.9","11.3"
"2022","UHF 42","303","4","East Harlem","104","11.5","11.1"
"2022","UHF 42","304","4","Upper West Side","72","3.9","4.0"
"2022","UHF 42","305","4","Upper East Side","23","1.3","1.2"
"2022","UHF 42","306","4","Chelsea - Clinton","45","3.2","3.3"
"2022","UHF 42","307","4","Gramercy Park - Murray Hill","22","1.8","1.9"
"2022","UHF 42","308","4","Greenwich Village - SoHo","6*","0.9*","1.0*"
"2022","UHF 42","309","4","Union Square - Lower East Side","72","4.4","4.4"
"2022","UHF 42","310","4","Lower Manhattan","14","2.6","3.2"
"2022","UHF 42","401","4","Long Island City - Astoria","59","3.5","3.5"
"2022","UHF 42","402","4","West Queens","125","3.5","3.4"
"2022","UHF 42","403","4","Flushing - Clearview","59","2.8","2.7"
"2022","UHF 42","404","4","Bayside - Little Neck","17","2.3","3.1"
"2022","UHF 42","405","4","Ridgewood - Forest Hills","62","3.0","3.1"
"2022","UHF 42","406","4","Fresh Meadows","39","5.1","4.7"
"2022","UHF 42","407","4","Southwest Queens","96","4.4","4.3"
"2022","UHF 42","408","4","Jamaica","210","8.2","7.8"
"2022","UHF 42","409","4","Southeast Queens","97","5.6","5.4"
"2022","UHF 42","410","4","Rockaways","66","6.7","7.7"
"2022","UHF 42","501","4","Port Richmond","63","11.8","11.5"
"2022","UHF 42","502","4","Stapleton - St. George","98","9.6","8.9"
"2022","UHF 42","503","4","Willowbrook","34","4.5","4.2"
"2022","UHF 42","504","4","South Beach - Tottenville","46","3.0","2.8"
"2021","UHF 42","101","4","Kingsbridge - Riverdale","43","5.8","5.5"
"2021","UHF 42","102","4","Northeast Bronx","197","12.2","11.8"
"2021","UHF 42","103","4","Fordham - Bronx Pk","229","11.6","11.9"
"2021","UHF 42","104","4","Pelham - Throgs Neck","281","12.3","11.8"
"2021","UHF 42","105","4","Crotona -Tremont","287","18.5","18.8"
"2021","UHF 42","106","4","High Bridge - Morrisania","269","17.0","17.0"
"2021","UHF 42","107","4","Hunts Point - Mott Haven","204","19.9","19.9"
"2021","UHF 42","201","4","Greenpoint","14","1.3","1.4"
"2021","UHF 42","202","4","Downtown - Heights - Slope","89","4.1","4.7"
"2021","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","174","6.4","6.5"
"2021","UHF 42","204","4","East New York","122","8.1","8.0"
"2021","UHF 42","205","4","Sunset Park","33","3.5","3.7"
"2021","UHF 42","206","4","Borough Park","45","1.9","1.9"
"2021","UHF 42","207","4","East Flatbush - Flatbush","139","5.9","5.7"
"2021","UHF 42","208","4","Canarsie - Flatlands","83","5.0","5.0"
"2021","UHF 42","209","4","Bensonhurst - Bay Ridge","22","1.3","1.2"
"2021","UHF 42","210","4","Coney Island - Sheepshead Bay","100","4.3","4.3"
"2021","UHF 42","211","4","Williamsburg - Bushwick","104","6.1","6.6"
"2021","UHF 42","301","4","Washington Heights","131","6.0","5.9"
"2021","UHF 42","302","4","Central Harlem - Morningside Heights","132","9.1","9.3"
