"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Estimated annual number","Estimated annual rate per 100,000 adults"
"2017-2019","UHF 42","101","4","Kingsbridge - Riverdale","7.0","9.0"
"2017-2019","UHF 42","102","4","Northeast Bronx","16.0","10.0"
"2017-2019","UHF 42","103","4","Fordham - Bronx Pk","23.0","11.0"
"2017-2019","UHF 42","104","4","Pelham - Throgs Neck","24.0","10.0"
"2017-2019","UHF 42","105","4","Crotona -Tremont","20.0","13.0"
"2017-2019","UHF 42","106","4","High Bridge - Morrisania","23.0","15.0"
"2017-2019","UHF 42","107","4","Hunts Point - Mott Haven","16.0","15.0"
"2017-2019","UHF 42","201","4","Greenpoint","3.0","4.0"
"2017-2019","UHF 42","202","4","Downtown - Heights - Slope","13.0","6.0"
"2017-2019","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","21.0","8.0"
"2017-2019","UHF 42","204","4","East New York","12.0","9.0"
"2017-2019","UHF 42","205","4","Sunset Park","6.0","6.0"
"2017-2019","UHF 42","206","4","Borough Park","14.0","6.0"
"2017-2019","UHF 42","207","4","East Flatbush - Flatbush","15.0","6.0"
"2017-2019","UHF 42","208","4","Canarsie - Flatlands","13.0","8.0"
"2017-2019","UHF 42","209","4","Bensonhurst - Bay Ridge","11.0","6.0"
"2017-2019","UHF 42","210","4","Coney Island - Sheepshead Bay","24.0","10.0"
"2017-2019","UHF 42","211","4","Williamsburg - Bushwick","13.0","8.0"
"2017-2019","UHF 42","301","4","Washington Heights","14.0","6.0"
"2017-2019","UHF 42","302","4","Central Harlem - Morningside Heights","12.0","8.0"
"2017-2019","UHF 42","303","4","East Harlem","9.0","10.0"
"2017-2019","UHF 42","304","4","Upper West Side","9.0","5.0"
"2017-2019","UHF 42","305","4","Upper East Side","9.0","5.0"
"2017-2019","UHF 42","306","4","Chelsea - Clinton","7.0","4.0"
"2017-2019","UHF 42","307","4","Gramercy Park - Murray Hill","6.0","5.0"
"2017-2019","UHF 42","308","4","Greenwich Village - SoHo","2.0","3.0"
"2017-2019","UHF 42","309","4","Union Square - Lower East Side","12.0","7.0"
"2017-2019","UHF 42","310","4","Lower Manhattan","3.0","4.0"
"2017-2019","UHF 42","401","4","Long Island City - Astoria","10.0","5.0"
"2017-2019","UHF 42","402","4","West Queens","20.0","5.0"
"2017-2019","UHF 42","403","4","Flushing - Clearview","12.0","5.0"
"2017-2019","UHF 42","404","4","Bayside - Little Neck","2.0","2.0"
"2017-2019","UHF 42","405","4","Ridgewood - Forest Hills","12.0","5.0"
"2017-2019","UHF 42","406","4","Fresh Meadows","4.0","5.0"
"2017-2019","UHF 42","407","4","Southwest Queens","12.0","5.0"
"2017-2019","UHF 42","408","4","Jamaica","16.0","6.0"
"2017-2019","UHF 42","409","4","Southeast Queens","6.0","3.0"
"2017-2019","UHF 42","410","4","Rockaways","10.0","10.0"
"2017-2019","UHF 42","501","4","Port Richmond","5.0","10.0"
"2017-2019","UHF 42","502","4","Stapleton - St. George","12.0","12.0"
"2017-2019","UHF 42","503","4","Willowbrook","8.0","10.0"
"2017-2019","UHF 42","504","4","South Beach - Tottenville","15.0","10.0"
"2015-2017","UHF 42","101","4","Kingsbridge - Riverdale","10.9","14.8"
"2015-2017","UHF 42","102","4","Northeast Bronx","24.1","15.4"
"2015-2017","UHF 42","103","4","Fordham - Bronx Pk","36.5","19.4"
"2015-2017","UHF 42","104","4","Pelham - Throgs Neck","36.8","15.9"
"2015-2017","UHF 42","105","4","Crotona -Tremont","32.4","21.4"
"2015-2017","UHF 42","106","4","High Bridge - Morrisania","39.7","25.8"
"2015-2017","UHF 42","107","4","Hunts Point - Mott Haven","26.7","26.5"
"2015-2017","UHF 42","201","4","Greenpoint","6.9","6.6"
