Geography,Percent
Kingsbridge - Riverdale,0.5
Northeast Bronx,
Fordham - Bronx Pk,5.8
Pelham - Throgs Neck,5.4
Greenpoint,16.6
Downtown - Heights - Slope,14.2
Bedford Stuyvesant - Crown Heights,10.6
East New York,5.7
Sunset Park,7.2
Borough Park,6.6
East Flatbush - Flatbush,9.7
Canarsie - Flatlands,4.1
Bensonhurst - Bay Ridge,8.1
Coney Island - Sheepshead Bay,1.0
Williamsburg - Bushwick,9.3
Washington Heights,5.7
Central Harlem - Morningside Heights,5.4
East Harlem,4.1
Upper West Side,8.5
Long Island City - Astoria,6.9
West Queens,9.1
Flushing - Clearview,1.9
Ridgewood - Forest Hills,10.7
Southwest Queens,9.6
Jamaica,5.0
Southeast Queens,3.0
Rockaways,
